"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-1.36695969453676","0.573772839019071","5.71613708691517","-0.226363475190595","0.255711165217235","1.33772114658174","3.77601256400166","1.18159031902154","-2.78799300140841","-3.75977618451387","-4.02281694636648","-1.18214351139146","1.9223202952475","1.70266350648771","3.24593182728185","2.14551991459943","0.0441915672248143","1.93172072093459","6.12471594505845","1.98552139245878","4.26873970004912","1.83633731561179","6.72898523460452","8.11284016817433","7.85947473765636","8.78584651222845","2.80734832109451","-2.43910682925713","6.07298988435505","2.98678537604742","-0.493937395643414","2.88483605341936","4.22582619052709","2.97962684366165","2.02659538801031","2.51733769753018","2.69684629138969","1.79998436736174","-4.76093722727454","4.25852314783128","2.73866078534071","",
"Afghanistan","AFG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.269692873253","17.4760758866341","12.9917235668942","13.6675434911544","7.63312617546615","5.74181791090433","6.1071412070385","6.27060133432151","9.80767041942524","6.39407095410473","5.06099070863522","2.7657805379709","4.17112132157942","-0.765914438586307","9.20679243849196","11.0746416505217","4.84886809201075","-4.63025317112887","-12.8087400556664","","",
"Africa Western and Central","AFW","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","-8.65071263133592","-13.2000330188732","3.52614081674486","4.28779171713146","-2.862511175111","2.70988837071275","5.28070817556794","1.30802572459399","13.7825195012183","-2.48965474560889","4.15527337780041","-5.22279570455994","-3.63367901505923","-1.3807669960924","5.18010330909205","2.7539015977022","1.29163855283301","-3.55954039695769","5.1408562978966","4.67092649203325","2.47310783524502","9.06277884085114","2.31209581045174","2.17829363106299","-0.989455969620252","-0.64300670844446","0.190143493344436","2.70008534619737","3.46452913240579","8.30936029001784","3.69159809049874","2.92011363126066","5.16856973147574","-0.76274455834519","-4.85669581177258","3.51288471616525","3.22771193270121","4.00002923241529","-3.04653904893848","0.940857638861019","-0.798037942235069","",
"Angola","AGO","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0866424080792001","14.8009544378462","20.4959315130068","13.193350732774","19.7989008658808","9.56677077645377","-3.899999989337","-0.0920533055329997","-2.15553510475898","10.5139875295922","2.96821218361154","-1.56750375119191","8.28481557463465","-0.630334158430017","-3.1873396301667","-6.21294835541003","-3.47800034023365","-10.4615558636219","-8.33801683121339","1.76712331401487","",
"Albania","ALB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.4524587387743","17.7460750692314","19.2865124766897","25.4321391333758","20.2435938501869","6.74450887904325","12.7141773112148","7.20217872233124","6.00394619569731","9.20291329507195","4.58274474222738","6.9461474225045","1.86202001364686","3.39983816194058","2.26437554991978","-6.14066215173217","2.71720448128706","-3.31855847062698","2.57202261699526","1.89647552363607","1.79485712487453","9.79416429602023","0.915144131825258","-4.09893333720557","13.7990077198546","7.86445493030668","",
"Andorra","AND","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70682948279944","5.55434545850576","11.7770178645127","10.1273834955297","7.10060588643819","5.6705871830419","-2.8037580938677","-5.81281431650447","-9.39139680558445","-12.8647959183673","-9.27481921714435","-11.6589757655942","-7.49926943308007","-1.98633653200648","-0.278001611603543","5.36543978021091","2.86437363395835","8.24573175277716","7.75535505200082","-3.89581335890061","5.74972564929665","4.93710691823898","",
"Arab World","ARB","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.631756040346758","-2.33396490780211","4.34770782303914","8.54676886739189","4.51236253453943","5.76226165269114","2.33573259964768","5.33091027735608","-2.23646174362348","5.20971497788514","3.15191397102812","5.00808499752921","0.0117975581859611","0.886571805626929","3.39269736203025","4.02558631653353","-0.409840900233647","1.95734624801476","-0.0330043558590489","-6.14974437518137","2.21567202020807","7.2142107711249","",
"United Arab Emirates","ARE","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.69817290371751","7.09153873509143","9.35979227956594","3.82841659898216","13.8193134291428","-2.68203146789861","2.57325814391527","-6.51233839572663","2.46674578694804","7.77982978695992","2.35563430639665","3.01720964131098","1.15423824981826","8.00932937336532","5.02296835095039","-2.89994039052995","3.28401442101112","-0.841637656288583","-2.78991920512964","2.62696115815879","8.48906459605791","",
"Argentina","ARG","Industry (including construction), value added (annual % growth)","NV.IND.TOTL.KD.ZG","","","","","","","1.10973168809214","4.23108006804362","9.4742084109032","11.5461698030809","-0.93025074280439","6.3292660113858","3.12389382410676","0.805741915574856","6.03750326062902","-1.0910075681474","0.555648947286102","8.62908987394545","-8.33489904116936","7.5414052472055","-1.2889504608861","-10.6633342647625","-3.20938122189585","5.37768781572736","0.674286429664491","-8.65101189162193","8.63026418211921","3.35677692623644","-3.5519761838143","-8.5887611394292","-5.32530798648239","10.6874598654654","11.0167529206409","5.47029702567141","6.20635123777579","-3.5514369316778","6.19344587122571","8.37113960852946","1.94610164803552","-6.62248952143577","-2.19535196176197","-5.19148858795911","-11.3563772213886","14.1613607347498","10.8153351886694","6.53438408640605","8.66492235309941","6.03334742709707","3.07204281358982","-6.43334090641412","8.80489749044955","5.83091783894156","-2.20112663055619","0.551194177258154","-3.46203501608358","1.38980831410751","-5.82515874143607","2.3028329031401","-3.04931518944642","-4.7407553055391","-9.28398483969283","15.4590696871446","5.71114135958608","",
